Annotations,Phylum,Class,Order,Family,Genus,Species,Label,Functional Group
Amoeba,Amoebozoa,Tubulinea,Euamoebida,Amoebidae,Amoeba,,Amoeba,Amoeba
Pyramimonas_longicauda,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas longicauda,Pyramimonas,Green algae
Pyramimonas,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,,Pyramimonas,Green algae
Pyramimonas_morphotype1,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,,Pyramimonas,Green algae
Parvicorbicula_socialis,Choanozoa,Choanoflagellatea,Acanthoecida,Acanthoecidae,Parvicorbicula,Parvicorbicula socialis,Parvicorbicula,Choanoflagellates
Mesodinium,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Mesodinium,,Mesodinium,Ciliates
Didinium,Ciliophora,Litostomatea,Haptorida,Didiniidae,Didinium,,Didinium,Ciliates
Pleuronema,Ciliophora,Oligohymenophorea,Pleuronematida,Pleuronematidae,Pleuronema,,Pleuronema,Ciliates
Tintinnopsis,Ciliophora,Oligotrichea,Choreotrichida,Codonellidae,Tintinnopsis,,Tintinnopsis,Ciliates
Favella,Ciliophora,Oligotrichea,Choreotrichida,Ptychocylididae,Favella,,Favella,Ciliates
Tintinnidium_mucicola,Ciliophora,Oligotrichea,Choreotrichida,Tintinnidiidae,Tintinnidium,Tintinnidium mucicola,Tintinnidium,Ciliates
Tintinnina,Ciliophora,Oligotrichea,Choreotrichida,,,,unknown Tintinnina,Ciliates
Dictyocysta,Ciliophora,Oligotrichea,Choreotrichida,Dictyocystidae,Dictyocysta,,Dictyocysta,Ciliates
Eutintinnus,Ciliophora,Oligotrichea,Choreotrichida,Eutintinnidae,Eutintinnus,,Eutintinnus,Ciliates
Stenosemella_pacifica,Ciliophora,Oligotrichea,Choreotrichida,Codonellopsidae,Stenosemella,Stenosemella pacifica,Stenosemella,Ciliates
Stenosemella_morphotype1,Ciliophora,Oligotrichea,Choreotrichida,Codonellopsidae,Stenosemella,,Stenosemella,Ciliates
Leegaardiella_ovalis,Ciliophora,Oligotrichea,Choreotrichida,Leegaardiellidae,Leegaardiella,Leegaardiella ovalis,Leegaardiella,Ciliates
Laboea_strobila,Ciliophora,Oligotrichea,Oligotrichida,Tontoniidae,Laboea,Laboea strobila,Laboea,Ciliates
Tontonia_appendiculariformis,Ciliophora,Oligotrichea,Oligotrichida,Tontoniidae,Tontonia,Tontonia appendiculariformis,Tontonia,Ciliates
Tiarina_fusus,Ciliophora,Prostomatea,Prorodontida,Colepidae,Tiarina,Tiarina fusus,Tiarina,Ciliates
Euplotes,Ciliophora,Spirotrichea,Euplotida,Euplotidae,Euplotes,,Euplotes,Ciliates
Euplotes_morphotype1,Ciliophora,Spirotrichea,Euplotida,Euplotidae,Euplotes,,Euplotes,Ciliates
Ciliophora,Ciliophora,,,,,,unknown Ciliophora,Ciliates
Pelagostrobilidium,Ciliophora,Oligotrichea,Choreotrichida,Strobilidiidae,Pelagostrobilidium,,Pelagostrobilidium,Ciliates
Paratontonia_gracillima,Ciliophora,Oligotrichea,Oligotrichida,Tontoniidae,Paratontonia,Paratontonia gracillima,Paratontonia,Ciliates
Strombidium_capitatum,Ciliophora,Oligotrichea,Oligotrichida,Strombidiidae,Strombidium,Strombidium capitatum,Strombidium,Ciliates
Strombidium_conicum,Ciliophora,Oligotrichea,Oligotrichida,Strombidiidae,Strombidium,Strombidium conicum,Strombidium,Ciliates
Strombidium_inclinatum,Ciliophora,Oligotrichea,Oligotrichida,Strombidiidae,Strombidium,Strombidium inclinatum,Strombidium,Ciliates
Strombidium_tintinnodes,Ciliophora,Oligotrichea,Oligotrichida,Strombidiidae,Strombidium,Strombidium tintinnodes,Strombidium,Ciliates
Strombidium_morphotype1,Ciliophora,Oligotrichea,Oligotrichida,Strombidiidae,Strombidium,,Strombidium,Ciliates
Strombidium_morphotype2,Ciliophora,Oligotrichea,Oligotrichida,Strombidiidae,Strombidium,,Strombidium,Ciliates
Strombidium_wulffi,Ciliophora,Oligotrichea,Oligotrichida,Strombidiidae,Strombidium,,Strombidium,Ciliates
Balanion,Ciliophora,Prostomatea,Prorodontida,Balanionidae,Balanion,,Balanion,Ciliates
Cryptophyta,Cryptophyta,,,,,,unknown Cryptophyta,Cryptophytes
nanoplankton_mix,Cyanobacteria,,,,,,unknown Cyanobacteria,Cyanobacteria
Trichodesmium,Cyanobacteria,Cyanophyceae,Oscillatoriales,Microcoleaceae,Trichodesmium,,Trichodesmium,Cyanobacteria
Euglena,Euglenozoa,Euglenophyceae,Euglenales,Euglenaceae,Euglena,,Euglena,Flagellates 
flagellate,Flagellates,,,,,,unknown Flagellates,Flagellates
flagellate_morphotype1,Flagellates,,,,,,unknown Flagellates,Flagellates
flagellate_morphotype3,Flagellates,,,,,,unknown Flagellates,Flagellates
Emiliania_huxleyi,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,Emiliania,Coccolithophores
Phaeocystis,Haptophyta,Coccolithophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,,Phaeocystis,Coccolithophores
Chrysochromulina,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,,Chrysochromulina,Coccolithophores
Chrysochromulina_lanceolata,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina lanceolata,Chrysochromulina,Coccolithophores
Corymbellus,Haptophyta,Coccolithophyceae,Prymnesiales,Prymnesiaceae,Corymbellus,,Corymbellus,Coccolithophores
Calciosolenia_brasiliensis,Haptophyta,Coccolithophyceae,Syracosphaerales,Calciosoleniaceae,Calciosolenia,Calciosolenia brasiliensis,Calciosolenia,Coccolithophores
Acanthoica_quattrospina,Haptophyta,Coccolithophyceae,Syracosphaerales,Rhabdosphaeraceae,Acanthoica,Acanthoica quattrospina,Acanthoica,Coccolithophores
Rhabdolithes,Haptophyta,Coccolithophyceae,Syracosphaerales,Rhabdosphaeraceae,Rhabdolithes,,Rhabdolithes,Coccolithophores
coccolithophorid,Haptophyta,Coccolithophyceae,,,,,unknown Coccolithophyceae,Coccolithophores
Calciopappus,Haptophyta,Coccolithophyceae,Syracosphaerales,Syracosphaeraceae,Calciopappus,,Calciopappus,Coccolithophores
Syracosphaera_pulchra,Haptophyta,Coccolithophyceae,Syracosphaerales,Syracosphaeraceae,Syracosphaera,Syracosphaera pulchra,Syracosphaera,Coccolithophores
Ophiaster,Haptophyta,Coccolithophyceae,Syracosphaerales,Syracosphaeraceae,Ophiaster,,Ophiaster,Coccolithophores
Paralia_sulcata,Heterokontophyta,Bacillariophyceae,Paraliales,Paraliaceae,Paralia,Paralia sulcata,Paralia,Diatoms
Guinardia_delicatula,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia delicatula,Guinardia,Diatoms
Guinardia_delicatula_TAG_internal_parasite,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia delicatula,Guinardia,Diatoms
Guinardia_flaccida,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia flaccida,Guinardia,Diatoms
Guinardia_striata,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia striata,Guinardia,Diatoms
Odontella,Heterokontophyta,Bacillariophyceae,Triceratiales,Triceratiaceae,Odontella,,Odontella,Diatoms
Cylindrotheca,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,,Cylindrotheca,Diatoms
Cylindrotheca_morphotype1,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,,Cylindrotheca,Diatoms
pennate_Pseudo-nitzschia,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,,Pseudo-nitzschia,Diatoms
Pseudo-nitzschia,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,,Pseudo-nitzschia,Diatoms
Biddulphia,Heterokontophyta,Bacillariophyceae,Biddulphiales,Biddulphiaceae,Biddulphia,,Biddulphia,Diatoms
Chaetoceros_danicus,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,Chaetoceros danicus,Chaetoceros,Diatoms
Chaetoceros_didymus,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,Chaetoceros didymus,Chaetoceros,Diatoms
Chaetoceros_didymus_TAG_external_flagellate,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,Chaetoceros didymus,Chaetoceros,Diatoms
Chaetoceros_peruvianis,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,Chaetoceros peruvianis,Chaetoceros,Diatoms
Chaetoceros_similis,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,Chaetoceros similis,Chaetoceros,Diatoms
Chaetoceros_socialis,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,Chaetoceros socialis,Chaetoceros,Diatoms
Chaetoceros_subtilis,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,Chaetoceros subtilis,Chaetoceros,Diatoms
Chaetoceros_tenuissimus,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,Chaetoceros tenuissimus,Chaetoceros,Diatoms
Chaetoceros_throndsenii,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,Chaetoceros throndsenii,Chaetoceros,Diatoms
Chaetoceros,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,,Chaetoceros,Diatoms
Corethron_hystrix,Heterokontophyta,Bacillariophyceae,Corethrales,Corethraceae,Corethron,Corethron hystrix,Corethron,Diatoms
Coscinodiscus,Heterokontophyta,Bacillariophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,,Coscinodiscus,Diatoms
Cerataulina_pelagica,Heterokontophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Cerataulina,Cerataulina pelagica,Cerataulina,Diatoms
Eucampia,Heterokontophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Eucampia,,Eucampia,Diatoms
Eucampia_morphytype1,Heterokontophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Eucampia,,Eucampia,Diatoms
Leptocylindrus_mediterraneus,Heterokontophyta,Bacillariophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,Leptocylindrus mediterraneus,Leptocylindrus,Diatoms
Leptocylindrus,Heterokontophyta,Bacillariophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,,Leptocylindrus,Diatoms
Ditylum_brightwellii,Heterokontophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii,Ditylum,Diatoms
Ephemera,Heterokontophyta,Bacillariophyceae,Naviculales,Plagiotropidaceae,Ephemera,,Ephemera,Diatoms
Pleurosigma,Heterokontophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,Pleurosigma,,Pleurosigma,Diatoms
Dactyliosolen_blavyanus,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,Dactyliosolen blavyanus,Dactyliosolen,Diatoms
Dactyliosolen_fragilissimus,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,Dactyliosolen fragilissimus,Dactyliosolen,Diatoms
Thalassionema,Heterokontophyta,Bacillariophyceae,Thalassionematales,Thalassionemataceae,Thalassionema,,Thalassionema,Diatoms
pennate_Thalassionema,Heterokontophyta,Bacillariophyceae,Thalassionematales,Thalassionemataceae,Thalassionema,,Thalassionema,Diatoms
Lauderia_annulata,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Lauderiaceae,Lauderia,Lauderia annulata,Lauderia,Diatoms
Skeletonema,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,,Skeletonema,Diatoms
Nanoneis,Heterokontophyta,Bacillariophyceae,,,Nanoneis,,Nanoneis,Diatoms
pennate,Heterokontophyta,Bacillariophyceae,,,,,unknown Bacillariophyceae,Diatoms
pennate_morphotype1,Heterokontophyta,Bacillariophyceae,,,,,unknown Bacillariophyceae,Diatoms
Bacillaria,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Bacillaria,,Bacillaria,Diatoms
Bacteriastrum,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Bacteriastrum,,Bacteriastrum,Diatoms
Asterionellopsis_glacialis,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis glacialis,Asterionellopsis,Diatoms
Hemiaulus_membranaceus,Heterokontophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Hemiaulus,Hemiaulus membranaceus,Hemiaulus,Diatoms
Hemiaulus,Heterokontophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Hemiaulus,,Hemiaulus,Diatoms
Licmophora,Heterokontophyta,Bacillariophyceae,Licmophorales,Licmophoraceae,Licmophora,,Licmophora,Diatoms
Stephanopyxis,Heterokontophyta,Bacillariophyceae,Melosirales,Stephanopyxidaceae,Stephanopyxis,,Stephanopyxis,Diatoms
Delphineis,Heterokontophyta,Bacillariophyceae,Rhaponeidales,Rhaphoneidaceae,Delphineis,,Delphineis,Diatoms
Rhizosolenia,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,,Rhizosolenia,Diatoms
Thalassiosira,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,,Thalassiosira,Diatoms
Thalassiosira_sp_aff_mala,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,,Thalassiosira,Diatoms
Bacillariophyceae,Heterokontophyta,Bacillariophyceae,,,,,unknown Bacillariophyceae,Diatoms
Bacillariophyceae_morphotype1,Heterokontophyta,Bacillariophyceae,,,,,unknown Bacillariophyceae,Diatoms
Dinophysis_acuminata,Myzozoa,Dinophyceae,Dinophysales,Dinophysaceae,Dinophysis,Dinophysis acuminata,Dinophysis,Dinoflagellates 
Dinophysis_norvegica,Myzozoa,Dinophyceae,Dinophysales,Dinophysaceae,Dinophysis,Dinophysis norvegica,Dinophysis,Dinoflagellates 
Dinophysis_tripos,Myzozoa,Dinophyceae,Dinophysales,Dinophysaceae,Dinophysis,Dinophysis tripos,Dinophysis,Dinoflagellates 
Gonyaulax,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,,Gonyaulax,Dinoflagellates 
Margalefidinium,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,,Margalefidinium,Dinoflagellates 
Gyrodinium,Myzozoa,Dinophyceae,Gymnodiniales,Gyrodiniaceae,Gyrodinium,,Gyrodinium,Dinoflagellates 
Proterythropsis,Myzozoa,Dinophyceae,Gymnodiniales,Warnowiaceae,Proterythropsis,,Proterythropsis,Dinoflagellates 
Kryptoperidinium_triquetrum,Myzozoa,Dinophyceae,Peridiniales,Peridiniaceae,Kryptoperidinium,Kryptoperidinium triquetrum,Kryptoperidinium,Dinoflagellates 
Prorocentrum_dentatum,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum dentatum,Prorocentrum,Dinoflagellates 
Prorocentrum_micans,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum micans,Prorocentrum,Dinoflagellates 
Prorocentrum_triestinum,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum triestinum,Prorocentrum,Dinoflagellates 
Prorocentrum,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,,Prorocentrum,Dinoflagellates 
Dinophyceae,Myzozoa,Dinophyceae,,,,,unknown Dinophyceae,Dinoflagellates 
Tripos_furca,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos furca,Tripos,Dinoflagellates 
Tripos_fusus,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos fusus,Tripos,Dinoflagellates 
Tripos_lineatus,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos lineatus,Tripos,Dinoflagellates 
Tripos,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,,Tripos,Dinoflagellates 
Karenia,Myzozoa,Dinophyceae,Gymnodiniales,Kareniaceae,Karenia,,Karenia,Dinoflagellates 
Polykrikos,Myzozoa,Dinophyceae,Gymnodiniales,Polykrikaceae (,Polykrikos,,Polykrikos,Dinoflagellates 
Warnowia,Myzozoa,Dinophyceae,Gymnodiniales,Warnowiaceae,Warnowia,,Warnowia,Dinoflagellates 
Heterocapsa_rotundata,Myzozoa,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa rotundata,Heterocapsa,Dinoflagellates 
Oxytoxum,Myzozoa,Dinophyceae,Peridiniales,Oxytoxaceae,Oxytoxum,,Oxytoxum,Dinoflagellates 
Protoperidinium,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,Protoperidinium,Dinoflagellates 
Katodinium_or_Torodinium,Myzozoa,Dinophyceae,,,Katodinium/Torodinium,,Katodinium/Torodinium,Dinoflagellates 
Amphidinium,Myzozoa,Dinophyceae,Amphidiniales,Amphidiniaceae,Amphidinium,,Amphidinium,Dinoflagellates 
Amylax,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Amylax,,Amylax,Dinoflagellates 
Alexandrium_catenella,Myzozoa,Dinophyceae,Gonyaulacales,Pyrocystaceae,Alexandrium,Alexandrium catenella,Alexandrium,Dinoflagellates 
Akashiwo,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,,Akashiwo,Dinoflagellates 
Scrippsiella,Myzozoa,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Scrippsiella,,Scrippsiella,Dinoflagellates 
Dinobryon,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,,Dinobryon,Ochrophytes
Dictyocha,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,,Dictyocha,Ochrophytes
Pseudochattonella_farcimen,Ochrophyta,Dictyochophyceae,Florenciellales,Florenciellales incertae sedis,Pseudochattonella,Pseudochattonella farcimen,Pseudochattonella,Ochrophytes
Vicicitus_globosus,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Vicicitus,Vicicitus globosus,Vicicitus,Ochrophytes
Apedinella,Ochrophyta,Dictyochophyceae,Pedinellales,Actinomonadaceae,Apedinella,,Apedinella,Ochrophytes
Acantharia,Radiozoa,Acantharia,,,,,unknown Acantharia,Radiolarians
unknown2,,,,,,,,
